"airlines"
"Eurowings"
"easyJet"
"Lufthansa"
"Air France"
"LOT-Polish Airlines"
"KLM"
"Swiss International Air Lines"
"Multiple Airlines"
"Austrian Airlines"
"Luxair"
"British Airways"
"SAS"
"Flybe"
"Alitalia"
"Mehrere Fluglinien"
